slug,nombre,provincia_declarada,lat,lng,motivo
praia-do-barranco-das-belharucas,"Praia do Barranco das Belharucas",Huelva,37.090,-8.180,"EXTRANJERA · Portugal (coords)"
praia-da-falesia-alfamar,"Praia da Falésia Alfamar",Huelva,37.083,-8.158,"EXTRANJERA · Portugal (coords)"
praia-de-nossa-senhora,"Praia de Nossa Senhora",Huelva,37.654,-8.802,"EXTRANJERA · Portugal (coords)"
praia-de-quarteira,"Praia de Quarteira",Huelva,37.065,-8.100,"EXTRANJERA · Portugal (coords)"
praia-do-creiro,"Praia do Creiro",Huelva,38.479,-8.976,"EXTRANJERA · Portugal (coords)"
praia-da-pedra-dos-bicos,"Praia da Pedra dos Bicos",Huelva,37.085,-8.218,"EXTRANJERA · Portugal (coords)"
praia-da-ingrina,"Praia da Ingrina",Huelva,37.047,-8.879,"EXTRANJERA · Portugal (coords)"
praia-do-barranco,"Praia do Barranco",Huelva,37.042,-8.895,"EXTRANJERA · Portugal (coords)"
praia-do-zavial,"Praia do Zavial",Huelva,37.046,-8.870,"EXTRANJERA · Portugal (coords)"
praia-das-furnas,"Praia das Furnas",Huelva,37.055,-8.854,"EXTRANJERA · Portugal (coords)"
praia-da-figueira,"Praia da Figueira",Huelva,37.061,-8.840,"EXTRANJERA · Portugal (coords)"
praia-da-luz,"Praia da Luz",Huelva,37.087,-8.725,"EXTRANJERA · Portugal (coords)"
praia-do-carvalhal,"Praia do Carvalhal",Huelva,37.501,-8.793,"EXTRANJERA · Portugal (coords)"
praia-dos-alteirinhos,"Praia dos Alteirinhos",Huelva,37.519,-8.789,"EXTRANJERA · Portugal (coords)"
praia-da-culatra-2,"Praia da Culatra",Huelva,36.995,-7.824,"EXTRANJERA · Portugal (coords)"
praia-da-mesquita,"Praia da Mesquita",Huelva,37.089,-8.415,"EXTRANJERA · Portugal (coords)"
praia-da-malhada-do-baraco,"Praia da Malhada do Baraço",Huelva,37.090,-8.407,"EXTRANJERA · Portugal (coords)"
praia-do-pau,"Praia do Pau",Huelva,37.090,-8.410,"EXTRANJERA · Portugal (coords)"
praia-das-fontainhas,"Praia das Fontaínhas",Huelva,37.092,-8.396,"EXTRANJERA · Portugal (coords)"
praia-da-baleeira-2,"Praia da Baleeira",Huelva,37.011,-8.930,"EXTRANJERA · Portugal (coords)"
praia-da-franquia,"Praia da Franquia",Huelva,37.722,-8.786,"EXTRANJERA · Portugal (coords)"
praia-da-foz-2,"Praia da Foz",Huelva,38.454,-9.199,"EXTRANJERA · Portugal (coords)"
praia-do-rebenta-bois,"Praia do Rebenta Bois",Huelva,38.451,-9.201,"EXTRANJERA · Portugal (coords)"
praia-das-bicas,"Praia das Bicas",Huelva,38.465,-9.192,"EXTRANJERA · Portugal (coords)"
praia-do-meco-tramagueira,"Praia do Meco (Tramagueira)",Huelva,38.478,-9.187,"EXTRANJERA · Portugal (coords)"
praia-do-pego,"Praia do Pêgo",Huelva,38.292,-8.779,"EXTRANJERA · Portugal (coords)"
praia-do-torrado,"Praia do Torrado",Huelva,37.106,-8.516,"EXTRANJERA · Portugal (coords)"
praia-do-tonel,"Praia do Tonel",Huelva,37.559,-8.792,"EXTRANJERA · Portugal (coords)"
praia-do-carvalhal-2,"Praia do Carvalhal",Huelva,38.306,-8.781,"EXTRANJERA · Portugal (coords)"
praia-da-comporta,"Praia da Comporta",Huelva,38.381,-8.804,"EXTRANJERA · Portugal (coords)"
praia-da-raposa,"Praia da Raposa",Huelva,38.258,-8.776,"EXTRANJERA · Portugal (coords)"
praia-do-pinheirinho,"Praia do Pinheirinho",Huelva,38.221,-8.776,"EXTRANJERA · Portugal (coords)"
praia-da-gale,"Praia da Galé",Huelva,38.205,-8.777,"EXTRANJERA · Portugal (coords)"
praia-da-aberta-nova,"Praia da Aberta Nova",Huelva,38.177,-8.781,"EXTRANJERA · Portugal (coords)"
praia-da-costa-de-santo-andre,"Praia da Costa de Santo André",Huelva,38.114,-8.798,"EXTRANJERA · Portugal (coords)"
praia-do-monte-velho,"Praia do Monte Velho",Huelva,38.081,-8.811,"EXTRANJERA · Portugal (coords)"
praia-das-areias-brancas,"Praia das Areias Brancas",Huelva,38.067,-8.817,"EXTRANJERA · Portugal (coords)"
praia-da-fonte-do-cortico,"Praia da Fonte do Cortiço",Huelva,38.055,-8.822,"EXTRANJERA · Portugal (coords)"
praia-da-costa-do-norte,"Praia da Costa do Norte",Huelva,37.979,-8.864,"EXTRANJERA · Portugal (coords)"
praia-de-sao-torpes,"Praia de São Torpes",Huelva,37.920,-8.806,"EXTRANJERA · Portugal (coords)"
praia-carreiro-da-fazenda,"Praia Carreiro da Fazenda",Huelva,37.723,-8.792,"EXTRANJERA · Portugal (coords)"
praia-do-farol,"Praia do Farol",Huelva,37.719,-8.790,"EXTRANJERA · Portugal (coords)"
praia-das-furnas-2,"Praia das Furnas",Huelva,37.716,-8.784,"EXTRANJERA · Portugal (coords)"
praia-do-brejo-largo,"Praia do Brejo Largo",Huelva,37.675,-8.797,"EXTRANJERA · Portugal (coords)"
praia-dos-machados,"Praia dos Machados",Huelva,37.492,-8.795,"EXTRANJERA · Portugal (coords)"
praia-do-malhao-sul,"Praia do Malhão Sul",Huelva,37.780,-8.802,"EXTRANJERA · Portugal (coords)"
praia-da-bica-da-areia,"Praia da Bica da Areia",Huelva,37.726,-8.793,"EXTRANJERA · Portugal (coords)"
praia-dos-canudos,"Praia dos Canudos",Huelva,37.882,-8.796,"EXTRANJERA · Portugal (coords)"
praia-da-pedra-da-bica,"Praia da Pedra da Bica",Huelva,37.532,-8.786,"EXTRANJERA · Portugal (coords)"
praia-do-mirouco,"Praia do Mirouço",Huelva,37.137,-8.920,"EXTRANJERA · Portugal (coords)"
praia-do-canal,"Praia do Canal",Huelva,37.267,-8.861,"EXTRANJERA · Portugal (coords)"
praia-do-alvoriao,"Praia do Alvorião",Huelva,37.504,-8.792,"EXTRANJERA · Portugal (coords)"
praia-da-meia-laranja,"Praia da Meia Laranja",Huelva,37.517,-8.790,"EXTRANJERA · Portugal (coords)"
praia-das-bernosas,"Praia das Bernosas",Huelva,37.515,-8.791,"EXTRANJERA · Portugal (coords)"
praia-da-baia-da-arquinha,"Praia da Baía da Arquinha",Huelva,37.536,-8.786,"EXTRANJERA · Portugal (coords)"
praia-de-nossa-senhora-2,"Praia de Nossa Senhora",Huelva,37.530,-8.787,"EXTRANJERA · Portugal (coords)"
praia-do-cavaleiro,"Praia do Cavaleiro",Huelva,37.602,-8.817,"EXTRANJERA · Portugal (coords)"
praia-da-carraca,"Praia da Carraca",Huelva,37.606,-8.816,"EXTRANJERA · Portugal (coords)"
praia-da-laginha,"Praia da Laginha",Huelva,37.608,-8.814,"EXTRANJERA · Portugal (coords)"
praia-do-cao,"Praia do Cão",Huelva,37.610,-8.812,"EXTRANJERA · Portugal (coords)"
praia-do-almograve-sul,"Praia do Almograve Sul",Huelva,37.650,-8.804,"EXTRANJERA · Portugal (coords)"
praia-do-cavalo,"Praia do Cavalo",Huelva,37.682,-8.795,"EXTRANJERA · Portugal (coords)"
praia-dos-aivados,"Praia dos Aivados",Huelva,37.810,-8.796,"EXTRANJERA · Portugal (coords)"
praia-do-banho,"Praia do Banho",Huelva,37.853,-8.796,"EXTRANJERA · Portugal (coords)"
praia-da-cerca-nova,"Praia da Cerca Nova",Huelva,37.859,-8.794,"EXTRANJERA · Portugal (coords)"
praia-naturista-do-salto,"Praia naturista do Salto",Huelva,37.860,-8.794,"EXTRANJERA · Portugal (coords)"
praia-do-cerro-da-aguia,"Praia do Cerro da Águia",Huelva,37.862,-8.794,"EXTRANJERA · Portugal (coords)"
praia-de-porto-covinho,"Praia de Porto Covinho",Huelva,37.864,-8.793,"EXTRANJERA · Portugal (coords)"
praia-da-samoqueira,"Praia da Samoqueira",Huelva,37.867,-8.793,"EXTRANJERA · Portugal (coords)"
praia-da-oliveirinha,"Praia da Oliveirinha",Huelva,37.893,-8.797,"EXTRANJERA · Portugal (coords)"
praia-de-morgavel,"Praia de Morgavel",Huelva,37.907,-8.799,"EXTRANJERA · Portugal (coords)"
praia-dos-coelhos,"Praia dos Coelhos",Huelva,38.482,-8.969,"EXTRANJERA · Portugal (coords)"
praia-de-galapinhos,"Praia de Galapinhos",Huelva,38.484,-8.968,"EXTRANJERA · Portugal (coords)"
praia-de-galapos,"Praia de Galápos",Huelva,38.485,-8.964,"EXTRANJERA · Portugal (coords)"
praia-da-cova,"Praia da Cova",Huelva,38.441,-9.059,"EXTRANJERA · Portugal (coords)"
praia-dos-lagosteiros,"Praia dos Lagosteiros",Huelva,38.424,-9.215,"EXTRANJERA · Portugal (coords)"
praia-da-pipa,"Praia da Pipa",Huelva,38.460,-9.195,"EXTRANJERA · Portugal (coords)"
praia-da-pelengana,"Praia da Pelengana",Huelva,37.910,-8.800,"EXTRANJERA · Portugal (coords)"
praia-do-canto-mosqueiro,"Praia do Canto Mosqueiro",Huelva,37.972,-8.869,"EXTRANJERA · Portugal (coords)"
praia-dos-brejos,"Praia dos Brejos",Huelva,38.319,-8.783,"EXTRANJERA · Portugal (coords)"
praia-da-torre-3,"Praia da Torre",Huelva,38.345,-8.790,"EXTRANJERA · Portugal (coords)"
praia-do-barranco-das-canas,"Praia do Barranco das Canas",Huelva,37.119,-8.564,"EXTRANJERA · Portugal (coords)"
praia-do-queimado,"Praia do Queimado",Huelva,37.819,-8.793,"EXTRANJERA · Portugal (coords)"
praia-da-armona-ria,"Praia da Armona-Ria",Huelva,37.023,-7.805,"EXTRANJERA · Portugal (coords)"
praia-da-figueirinha,"Praia da Figueirinha",Huelva,38.484,-8.946,"EXTRANJERA · Portugal (coords)"
praia-da-vieirinha-vale-de-figueiros,"Praia da Vieirinha - Vale de Figueiros",Huelva,37.896,-8.797,"EXTRANJERA · Portugal (coords)"
praia-grande-de-pera,"Praia Grande de Pêra",Huelva,37.094,-8.341,"EXTRANJERA · Portugal (coords)"
praia-de-armacao-de-pera,"Praia de Armação de Pêra",Huelva,37.100,-8.360,"EXTRANJERA · Portugal (coords)"
praia-de-loule-velho,"Praia de Loulé Velho",Huelva,37.055,-8.076,"EXTRANJERA · Portugal (coords)"
praia-do-canavial,"Praia do Canavial",Huelva,37.084,-8.679,"EXTRANJERA · Portugal (coords)"
praia-do-paraiso-2,"Praia do Paraíso",Huelva,37.097,-8.476,"EXTRANJERA · Portugal (coords)"
praia-dos-buizinhos,"Praia dos Buizinhos",Huelva,37.850,-8.796,"EXTRANJERA · Portugal (coords)"
praia-da-fraternidade,"Praia da Fraternidade",Huelva,37.074,-8.297,"EXTRANJERA · Portugal (coords)"
praia-do-sissal,"Praia do Sissal",Huelva,37.839,-8.790,"EXTRANJERA · Portugal (coords)"
praia-da-angra-das-melancias,"Praia da Angra das Melancias",Huelva,37.660,-8.802,"EXTRANJERA · Portugal (coords)"
praia-da-angra-do-travesso,"Praia da Angra do Travesso",Huelva,37.662,-8.802,"EXTRANJERA · Portugal (coords)"
praia-dos-picos,"Praia dos Picos",Huelva,37.665,-8.801,"EXTRANJERA · Portugal (coords)"
praia-do-burdo,"Praia do Burdo",Huelva,37.760,-8.806,"EXTRANJERA · Portugal (coords)"
praia-da-angra-da-barrela,"Praia da Angra da Barrela",Huelva,37.770,-8.805,"EXTRANJERA · Portugal (coords)"
